network,node number,x,y,z,name,description
AM,11,-42,53,7,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,12,26,-14,-23,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,13,52,-5,-18,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,14,-39,13,-41,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,15,-38,-82,38,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,16,-48,29,17,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,17,52,31,-11,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,18,-11,62,9,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,19,4,-8,2,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,20,-4,39,16,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,21,-5,-34,36,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,22,-29,16,51,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
AM,23,31,1,-26,Autobiographical memory,"A central domain involved in a core network linked to self-projection and scene construction is remembering personal events from one’s own past (Spreng, Mar, & Kim, 2008). Within that core network, an autobiographical memory network was found within the medial and lateral temporal cortices, precuneus, posterior cingulate cortex, retrosplenial cortex, temporo-parietal junction, lateral prefrontal and occipital cortices and medial prefrontal cortex (Spreng et al., 2008)."
CogAC,1,36,22,-4,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,2,2,16,48,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,3,48,12,30,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,4,36,2,54,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,5,48,30,24,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,6,-38,-44,46,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,7,-24,-66,48,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,8,40,-46,46,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,9,60,-44,24,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,10,30,-62,52,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,11,-44,10,30,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,12,-34,20,-4,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,13,-26,2,52,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,14,6,-18,-2,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,15,-40,-66,-10,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,16,48,19,6,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,17,8,29,30,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,18,-45,27,30,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
CogAC,19,11,7,7,Cognitive attention control,"The CogAC network (Cieslik, Mueller, Eickhoff, Langner, & Eickhoff, 2013) is involved in higher level control processes and goal-oriented behaviour and consists of the anterior insula, inferior frontal gyrus, dorsolateral prefrontal cortex, dorsal premotor cortex, bilateral intraparietal sulcus and superior parietal lobe, right temporo-parietal junction, left inferior occipital gyrus, pre-supplementary motor area and anterior midcingulate cortex, as well as the right thalamus and right caudate nucleus."
eMDN,1,-46,6,30,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,2,50,12,28,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,3,-32,20,2,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,4,36,22,0,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,5,-4,14,44,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,6,6,18,46,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,7,-32,-52,46,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,8,32,-58,48,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,9,44,36,20,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,10,-28,-4,52,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,11,-44,32,22,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,12,32,0,52,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,13,-20,6,4,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,14,10,-12,8,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,15,-46,-60,-10,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,16,22,6,4,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
eMDN,17,-10,-16,6,Extended multiple demand network,"Executive functions are fundamental to a variety of behaviours and recruit a core network of brain regions linked to a multiple demand system and additional more task-specific sub-networks. This eMDN consists of the bilateral inferior frontal gyrus, insula, supplementary motor area, intraparietal sulcus, middle frontal gyrus, dorsal pre-motor cortex, putamen, thalamus and the left inferior temporal gyrus (Camilleri et al., 2016)."
EmoSF,1,4,47,7,Emotional scene and face processing,"FMRI studies on emotional processing often make use of visual, emotional face or scene stimuli (Sabatinelli et al., 2011). A meta-analysis on brain regions involved in the visual perception of emotional faces or scenes revealed consistent activation in the medial prefrontal cortex, bilateral inferior, middle and superior frontal gyrus, amygdala, parahippocampal gyrus, fusiform gyrus, medial prefrontal gyrus, orbitofrontal gyrus, lateral occipital cortex, thalamus, pulvinar, right middle temporal gyrus and right anterior cingulate cortex (Sabatinelli et al., 2011)."
EmoSF,2,42,25,3,Emotional scene and face processing,"FMRI studies on emotional processing often make use of visual, emotional face or scene stimuli (Sabatinelli et al., 2011). A meta-analysis on brain regions involved in the visual perception of emotional faces or scenes revealed consistent activation in the medial prefrontal cortex, bilateral inferior, middle and superior frontal gyrus, amygdala, parahippocampal gyrus, fusiform gyrus, medial prefrontal gyrus, orbitofrontal gyrus, lateral occipital cortex, thalamus, pulvinar, right middle temporal gyrus and right anterior cingulate cortex (Sabatinelli et al., 2011)."
EmoSF,3,-42,25,3,Emotional scene and face processing,"FMRI studies on emotional processing often make use of visual, emotional face or scene stimuli (Sabatinelli et al., 2011). A meta-analysis on brain regions involved in the visual perception of emotional faces or scenes revealed consistent activation in the medial prefrontal cortex, bilateral inferior, middle and superior frontal gyrus, amygdala, parahippocampal gyrus, fusiform gyrus, medial prefrontal gyrus, orbitofrontal gyrus, lateral occipital cortex, thalamus, pulvinar, right middle temporal gyrus and right anterior cingulate cortex (Sabatinelli et al., 2011)."
EmoSF,4,48,17,29,Emotional scene and face processing,"FMRI studies on emotional processing often make use of visual, emotional face or scene stimuli (Sabatinelli et al., 2011). A meta-analysis on brain regions involved in the visual perception of emotional faces or scenes revealed consistent activation in the medial prefrontal cortex, bilateral inferior, middle and superior frontal gyrus, amygdala, parahippocampal gyrus, fusiform gyrus, medial prefrontal gyrus, orbitofrontal gyrus, lateral occipital cortex, thalamus, pulvinar, right middle temporal gyrus and right anterior cingulate cortex (Sabatinelli et al., 2011)."
EmoSF,5,-42,13,27,Emotional scene and face processing,"FMRI studies on emotional processing often make use of visual, emotional face or scene stimuli (Sabatinelli et al., 2011). A meta-analysis on brain regions involved in the visual perception of emotional faces or scenes revealed consistent activation in the medial prefrontal cortex, bilateral inferior, middle and superior frontal gyrus, amygdala, parahippocampal gyrus, fusiform gyrus, medial prefrontal gyrus, orbitofrontal gyrus, lateral occipital cortex, thalamus, pulvinar, right middle temporal gyrus and right anterior cingulate cortex (Sabatinelli et al., 2011)."
EmoSF,6,-2,8,59,Emotional scene and face processing,"FMRI studies on emotional processing often make use of visual, emotional face or scene stimuli (Sabatinelli et al., 2011). A meta-analysis on brain regions involved in the visual perception of emotional faces or scenes revealed consistent activation in the medial prefrontal cortex, bilateral inferior, middle and superior frontal gyrus, amygdala, parahippocampal gyrus, fusiform gyrus, medial prefrontal gyrus, orbitofrontal gyrus, lateral occipital cortex, thalamus, pulvinar, right middle temporal gyrus and right anterior cingulate cortex (Sabatinelli et al., 2011)."
EmoSF,7,20,-4,-15,Emotional scene and face processing,"FMRI studies on emotional processing often make use of visual, emotional face or scene stimuli (Sabatinelli et al., 2011). A meta-analysis on brain regions involved in the visual perception of emotional faces or scenes revealed consistent activation in the medial prefrontal cortex, bilateral inferior, middle and superior frontal gyrus, amygdala, parahippocampal gyrus, fusiform gyrus, medial prefrontal gyrus, orbitofrontal gyrus, lateral occipital cortex, thalamus, pulvinar, right middle temporal gyrus and right anterior cingulate cortex (Sabatinelli et al., 2011)."
EmoSF,8,-20,-6,-15,Emotional scene and face processing,"FMRI studies on emotional processing often make use of visual, emotional face or scene stimuli (Sabatinelli et al., 2011). A meta-analysis on brain regions involved in the visual perception of emotional faces or scenes revealed consistent activation in the medial prefrontal cortex, bilateral inferior, middle and superior frontal gyrus, amygdala, parahippocampal gyrus, fusiform gyrus, medial prefrontal gyrus, orbitofrontal gyrus, lateral occipital cortex, thalamus, pulvinar, right middle temporal gyrus and right anterior cingulate cortex (Sabatinelli et al., 2011)."
EmoSF,9,-20,-33,-4,Emotional scene and face processing,"FMRI studies on emotional processing often make use of visual, emotional face or scene stimuli (Sabatinelli et al., 2011). A meta-analysis on brain regions involved in the visual perception of emotional faces or scenes revealed consistent activation in the medial prefrontal cortex, bilateral inferior, middle and superior frontal gyrus, amygdala, parahippocampal gyrus, fusiform gyrus, medial prefrontal gyrus, orbitofrontal gyrus, lateral occipital cortex, thalamus, pulvinar, right middle temporal gyrus and right anterior cingulate cortex (Sabatinelli et al., 2011)."
